arrivalItemKey,projectKey,itemId,managementUnit,room,podName,equipmentType,model,modelNormalized,componentCode,detailedConfig,unit,quantity,arrivalDate,modifiedArrivalDate,remark
京东::arrival::15,京东,15,B2DH401-POD04,B2DH401,POD04,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-01-10,,
京东::arrival::16,京东,16,B2DH401-POD04,B2DH401,POD04,网络,CE9866-128DQ,,,,台,6,2026-01-10,,
京东::arrival::17,京东,17,B2DH403-POD09,B2DH403,POD09,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::18,京东,18,B2DH403-POD09,B2DH403,POD09,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-01-18,,
京东::arrival::19,京东,19,B2DH403-POD09,B2DH403,POD09,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-01-18,,
京东::arrival::20,京东,20,B2DH403-POD09,B2DH403,POD09,网络,CE9866-128DQ,,,,台,6,2026-01-18,,
京东::arrival::21,京东,21,B2DH402-POD05,B2DH402,POD05,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::22,京东,22,B2DH402-POD05,B2DH402,POD05,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-03-04,,
京东::arrival::23,京东,23,B2DH402-POD05,B2DH402,POD05,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-03-04,,
京东::arrival::24,京东,24,B2DH402-POD05,B2DH402,POD05,网络,CE9866-128DQ,,,,台,6,2026-03-04,,
京东::arrival::25,京东,25,B2DH402-POD06,B2DH402,POD06,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::26,京东,26,B2DH402-POD06,B2DH402,POD06,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-03-04,,
京东::arrival::27,京东,27,B2DH402-POD06,B2DH402,POD06,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-03-04,,
京东::arrival::28,京东,28,B2DH402-POD06,B2DH402,POD06,网络,CE9866-128DQ,,,,台,6,2026-03-04,,
京东::arrival::29,京东,29,B2DH402-POD07,B2DH402,POD07,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::30,京东,30,B2DH402-POD07,B2DH402,POD07,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-03-04,,
京东::arrival::31,京东,31,B2DH402-POD07,B2DH402,POD07,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-03-04,,
京东::arrival::32,京东,32,B2DH402-POD07,B2DH402,POD07,网络,CE9866-128DQ,,,,台,6,2026-03-04,,
京东::arrival::33,京东,33,B2DH402-POD08,B2DH402,POD08,灵衢线缆,400G MPO线缆,,,,根,2688,2026-01-05,,
京东::arrival::34,京东,34,B2DH402-POD08,B2DH402,POD08,计算柜,Atlas 900 A3 SuperPoD计算柜,,,48*Atlas 900 A3,柜,12,2026-03-04,,
京东::arrival::35,京东,35,B2DH402-POD08,B2DH402,POD08,总线设备柜,Atlas 900 A3 SuperPoD总线设备柜,,,56*LingQu 630 V1,柜,4,2026-03-04,,
京东::arrival::36,京东,36,B2DH402-POD08,B2DH402,POD08,网络,CE9866-128DQ,,,,台,6,2026-03-04,,
